Order Date,Sales,Profit,Category,Region
2016-11-08,275.058,41.9136,Furniture,South
2016-11-08,768.537,219.582,Furniture,South
2016-06-12,15.350999999999999,6.8714,Office Supplies,West
2015-10-11,1005.456375,-383.031,Furniture,South
2015-10-11,23.4864,2.5164,Office Supplies,South
2014-06-09,51.303000000000004,14.1694,Furniture,West
2014-06-09,7.644000000000001,1.9656,Office Supplies,West
2014-06-09,952.5096000000001,90.7152,Technology,West
2014-06-09,19.4292,5.7825,Office Supplies,West
2014-06-09,120.64500000000001,34.47,Office Supplies,West
2014-06-09,1791.4932000000001,85.3092,Furniture,West
2014-06-09,956.9952000000001,68.3568,Technology,West
2017-04-15,16.3296,5.4432,Office Supplies,South
2016-12-05,428.3748,132.5922,Office Supplies,West
2015-11-22,72.2505,-123.858,Office Supplies,Central
2015-11-22,2.6712000000000002,-3.816,Office Supplies,Central
2014-11-11,699.174,13.3176,Office Supplies,Central
2014-05-13,58.275000000000006,9.99,Office Supplies,West
2014-08-27,8.988000000000001,2.4824,Office Supplies,West
2014-08-27,224.154,16.011,Technology,West
2014-08-27,23.855999999999998,7.384,Office Supplies,West
2016-12-09,20.433000000000003,5.0596,Office Supplies,Central
2016-12-09,63.357000000000006,15.6884,Office Supplies,Central
2017-07-16,74.9406,-1.0196,Furniture,East
2015-09-25,1096.8615000000002,240.2649,Furniture,West
2016-01-16,12.2304,4.2224,Office Supplies,West
2016-01-16,95.0985,11.7741,Technology,West
2015-09-17,3237.6014999999998,-1665.0522,Furniture,East
2015-09-17,10.0989,-7.0532,Office Supplies,East
2015-09-17,130.41,15.525,Furniture,East
2015-09-17,3.4272,1.1016,Office Supplies,East
2015-09-17,90.6192,9.7092,Office Supplies,East
2015-09-17,7.2009,-5.715,Office Supplies,East
2015-09-17,16.548000000000002,3.546,Office Supplies,East
2017-10-19,30.945600000000002,9.9468,Office Supplies,Central
2016-12-08,1152.4212000000002,123.4737,Technology,Central
2016-12-08,200.466,-147.963,Furniture,Central
2015-12-27,118.99440000000001,35.415,Office Supplies,Central
2015-12-27,559.0191599999999,-46.9764,Furniture,Central
2015-12-27,222.6609,-15.147,Furniture,Central
2015-12-27,389.7264,41.7564,Technology,Central
2017-09-10,154.52640000000002,16.5564,Technology,Central
2016-07-17,81.774,3.894,Office Supplies,West
2017-09-19,100.3968,9.5616,Office Supplies,South
2016-03-11,48.278999999999996,19.7714,Technology,Central
2016-03-11,18.333000000000002,8.2062,Office Supplies,Central
2014-10-20,222.55800000000002,8.4784,Office Supplies,Central
2016-06-20,47.25,4.95,Technology,East
2016-06-20,22.89,6.104,Technology,East
2015-04-18,40.131,17.9634,Office Supplies,Central
2015-04-18,78.93900000000001,35.3346,Office Supplies,Central
2015-04-18,6.468000000000001,2.9568,Furniture,Central
2015-04-18,94.48949999999999,17.0981,Furniture,Central
2016-12-11,16.023,6.2566,Office Supplies,East
2016-12-11,1081.4475,298.6855,Technology,East
2016-06-17,218.988,52.14,Office Supplies,East
2016-06-17,34.02,15.552,Office Supplies,East
2016-06-17,335.38050000000004,7.098,Furniture,East
2016-06-17,15.288000000000002,6.9888,Office Supplies,East
2016-06-17,31.5,3.3,Technology,East
2016-06-17,50.903999999999996,16.362,Office Supplies,East
2016-06-17,1.764,0.84,Office Supplies,East
2015-11-24,14.679,6.1512,Technology,West
2015-11-24,27.1152,9.3612,Office Supplies,West
2015-11-24,154.0665,68.9631,Office Supplies,West
2015-11-24,83.748,22.3328,Furniture,West
2015-04-30,223.77075000000002,-15.2225,Furniture,Central
2014-12-05,1168.6752,111.3024,Office Supplies,West
2014-12-05,176.3664,62.988,Technology,West
2016-06-04,79.67399999999999,35.6636,Office Supplies,South
2016-09-18,4.8468,1.731,Office Supplies,East
2017-09-14,20.0025,8.763,Office Supplies,Central
2015-04-26,873.5328000000001,-114.3912,Furniture,South
2015-04-26,101.89200000000001,1.213,Furniture,South
2015-04-26,76.42320000000001,-18.196,Office Supplies,South
2017-12-09,1.3104,-1.9344,Office Supplies,Central
2017-12-09,10.1934,-5.8248,Furniture,Central
2017-12-09,28.602,2.724,Office Supplies,Central
2014-11-26,20.265,-14.475,Furniture,Central
2016-06-12,218.568,56.2032,Office Supplies,South
2016-06-12,17.576999999999998,8.0352,Office Supplies,South
2014-10-12,15.645000000000001,4.172,Office Supplies,West
2014-10-12,22.459500000000002,6.2031,Office Supplies,West
2015-09-03,211.03320000000002,62.8075,Office Supplies,South
2017-11-13,241.8948,-48.9549,Office Supplies,Central
2017-05-28,317.058,33.2156,Furniture,South
2017-10-26,20.9895,6.7966,Technology,Central
2017-10-26,6.468000000000001,2.9568,Office Supplies,Central
2016-04-05,166.28640000000001,13.8572,Office Supplies,Central
2016-09-17,21.105000000000004,6.633,Office Supplies,West
2016-09-17,77.26320000000001,8.2782,Technology,West
2016-09-17,6.804000000000001,3.1104,Office Supplies,West
2015-01-31,13.608000000000002,6.2208,Office Supplies,Central
2015-01-31,56.007000000000005,16.5354,Furniture,Central
2015-01-31,34.608000000000004,16.1504,Office Supplies,Central
2017-11-06,5.966100000000001,-3.788,Office Supplies,West
2017-11-09,101.35650000000001,40.5426,Furniture,East
2017-06-17,53.8776,17.9592,Office Supplies,West
2016-09-06,81.774,22.5852,Office Supplies,Central
2016-08-29,67.8552,22.6184,Office Supplies,Central
2016-08-29,100.7748,-10.7973,Technology,Central
2016-08-29,1.8774000000000002,-3.0396,Office Supplies,Central
2016-12-01,25.116000000000003,11.7208,Office Supplies,Central
2015-11-13,250.8408,-26.8758,Technology,West
2015-11-13,107.47800000000001,-3.8385,Furniture,West
2015-11-13,38.7261,-25.8174,Office Supplies,West
2017-11-23,77.8176,17.6016,Technology,South
2017-11-23,29.3916,2.0994,Technology,South
2017-11-23,3.4692,1.0738,Office Supplies,South
2015-10-15,356.95799999999997,67.992,Technology,Central
2017-12-25,44.058,10.9096,Furniture,East
2016-11-03,79.758,22.788,Office Supplies,Central
2016-11-03,28.602,13.3476,Office Supplies,Central
2014-08-25,42.1008,14.5348,Office Supplies,East
2014-08-25,4.9559999999999995,1.652,Office Supplies,East
2014-08-25,25.1748,7.4925,Office Supplies,East
2014-08-25,136.9872,44.0316,Office Supplies,East
2015-03-02,826.9065,165.3813,Furniture,West
2015-04-05,165.68370000000002,-115.7156,Office Supplies,South
2016-06-12,49.392,18.3456,Furniture,East
2016-06-12,32.382,13.878,Office Supplies,East
2016-06-12,237.888,63.4368,Office Supplies,East
2016-06-12,120.771,51.759,Office Supplies,East
2016-06-12,71.44200000000001,19.7316,Technology,East
2014-12-26,630.5859,-8.5794,Furniture,Central
2014-09-20,648.585,-407.682,Furniture,Central
2017-11-05,2.5074,-1.8308,Office Supplies,West
2017-11-05,256.1916,30.499,Office Supplies,West
2016-11-06,85.49520000000001,-9.1602,Furniture,West
2016-11-06,250.488,26.2416,Furniture,West
2017-02-02,62.9685,-11.994,Technology,East
